Batch No.,Serial No.,Cathode Lum. Sens.,Anode Lum. Sens.,Anode Dark Current,Cathode Blue Sens.,Supply Voltage,Peak to Valley Ratio,Dark Count,TTS,QE @ 390 nm,QE @ 450 nm, num
309,KM55873,105,257,2.3,10.9,1080,3.03,210,,,,309
310,KM57173,106,181,0.5,11.3,1150,3.85,140,,,,310
311,KM57288,109,254,1,11,1090,3.04,280,,,,311
312,KM57289,120,263,0.9,11.4,1100,3,270,,,,312
313,KM57290,113,229,0.7,11.1,1120,3.31,210,,,,313
314,KM57292,111,246,1,11.1,1100,3.07,270,,,,314
315,KM57293,114,328,1.5,11.3,1060,3.08,420,,,,315
316,KM57294,108,283,1.1,11,1070,3.23,270,,,,316
317,KM57295,120,260,1.3,11.4,1100,2.69,820,,,,317
318,KM57296,120,226,1,11.6,1130,3.21,460,,,,318
319,KM57364,97,331,1.5,10.9,1040,3.55,160,,,,319
320,KM57365,110,400,1.9,11.3,1020,3.17,290,,,,320
321,KM57366,88,290,2.1,10.5,1050,3.37,200,,,,321
322,KM57367,95,326,1,10.7,1050,3.21,250,,,,322
323,KM57368,100,308,1.1,11,1050,3.2,230,,,,323
324,KM57369,110,292,0.9,11.4,1080,2.88,280,,,,324
325,KM57370,103,256,0.9,11.2,1090,3.78,280,,,,325
326,KM57371,102,344,3.2,11,1030,3.13,320,,,,326
327,KM57372,95,344,1.2,10.6,1030,3.78,420,,,,327
328,KM57373,103,358,1.2,11.2,1030,3.11,450,,,,328
329,KM57374,96,333,1.1,10.8,1040,3.11,320,,,,329
330,KM57375,111,410,1.2,11.3,1030,2.94,410,,,,330
331,KM57376,104,354,2.4,11.3,1040,3.48,320,,,,331
332,KM57377,97,227,0.8,10.9,1090,3.47,230,,,,332
333,KM57378,99,250,0.7,10.9,1080,3.2,250,,,,333
334,KM57133,99,318,1,10.7,1050,3.27,390,,,,334
335,KM57134,105,219,0.8,10.9,1120,3.12,320,,,,335
336,KM57135,111,285,1,11.1,1080,3.58,400,,,,336
337,KM57139,106,223,1,11.1,1110,3.35,200,,,,337
338,KM57142,98,326,1.3,10.7,1040,3.2,200,,,,338
339,KM57144,105,280,0.9,11.1,1070,3.65,170,,,,339
340,KM57147,101,270,1.4,10.7,1070,3.85,180,,,,340
341,KM54426,101,307,1.8,10.9,1060,3.65,260,,,,341
342,KM54590,109,268,2.1,10.9,1090,3.61,270,,,,342
343,KM54602,102,473,2.1,10.7,990,3.42,350,,,,343
344,KM54630,106,346,1.5,10.9,1060,3.48,340,,,,344
345,KM54646,111,254,2.1,11.1,1110,2.65,440,,,,345
346,KM54668,102,419,1.8,10.9,1030,3.41,470,,,,346
347,KM54684,98,119,1,10.8,1210,4.48,210,,,,347
348,KM54751,98,329,2.6,10.7,1050,3.48,240,,,,348
349,KM54753,92,240,1.9,10.5,1080,3.04,190,,,,349
350,KM54777,91,157,1.4,10.4,1150,2.68,360,,,,350
351,KM54846,95,245,1.1,10.7,1090,3.83,230,,,,351
352,KM54910,101,235,1.8,10.7,1090,3.71,270,,,,352
353,KM54942,111,288,1.5,10.9,1070,2.51,530,,,,353
354,KM55038,101,277,1.5,10.7,1070,3.26,380,,,,354
355,KM55048,95,343,1.7,10.5,1040,4.78,220,,,,355
356,KM55065,102,315,2.7,10.8,1050,3.12,450,,,,356
357,KM55078,100,179,0.8,10.5,1150,2.63,520,,,,357
358,KM55079,109,260,0.9,11,1080,2.73,340,,,,358
359,KM55091,99,183,0.9,10.8,1130,2.76,260,,,,359
360,KM55131,103,244,1.1,10.9,1090,3.16,280,,,,360
361,KM55133,95,231,1.6,10.6,1080,2.72,270,,,,361
362,KM55181,113,315,1.6,11,1050,2.67,730,,,,362
363,KM55182,111,369,1.8,11,1040,3.3,320,,,,363
364,KM55183,107,347,1.9,10.9,1050,3.7,320,,,,364
365,KM55184,104,228,1.9,10.8,1110,2.6,450,,,,365
366,KM55185,115,353,1.4,11.1,1050,3.15,410,,,,366
367,KM55190,113,314,1.7,10.8,1060,3.17,660,,,,367
368,KM55191,104,252,1,10.6,1090,3.43,270,,,,368
369,KM57172,113,363,1.3,11.3,1050,2.81,540,,,,369
370,KM57331,109,249,2.1,11.1,1090,3.62,130,,,,370
371,KM57336,100,386,1.2,10.9,1000,3.37,120,,,,371
372,KM57345,106,269,2.2,11.3,1070,3.52,230,,,,372
373,KM57347,114,301,1.7,11.5,1070,3.26,230,,,,373
374,KM57395,102,293,2.9,11.1,1060,3.06,180,,,,374
375,KM57411,104,260,1.1,11,1080,3.59,300,,,,375
376,KM57442,113,217,1,11.5,1120,2.86,450,,,,376
377,KM57471,99,183,0.8,10.9,1120,3.8,130,,,,377
378,KM57502,111,210,1,11.3,1120,2.55,310,,,,378
379,KM57504,107,304,1.3,11.1,1050,3.2,200,,,,379
380,KM57508,103,285,2.6,11.1,1070,3.32,220,,,,380
381,KM57511,101,167,2.2,10.9,1160,2.64,750,,,,381
382,KM57512,103,237,1.8,11.1,1100,2.55,790,,,,382
383,KM57534,103,195,0.7,11.1,1130,3.3,110,,,,383
384,KM57541,102,271,1.5,10.9,1070,3.09,390,,,,384
385,KM57545,94,197,1.2,10.7,1110,3.37,120,,,,385
386,KM57546,107,219,1.8,11.2,1130,3.41,170,,,,386
387,KM57547,105,227,1.1,11.2,1100,3.11,160,,,,387
388,KM57548,98,189,1,10.9,1130,3.6,110,,,,388
389,KM57550,94,325,2.1,10.6,1030,4.09,120,,,,389
390,KM57560,106,326,1.3,11.1,1050,3.45,130,,,,390
391,KM57561,111,222,1.2,11.5,1110,3.7,160,,,,391
392,KM57566,96,221,2,10.7,1090,3.75,150,,,,392
393,KM57582,105,198,1.7,11,1140,2.68,380,,,,393
394,KM57591,103,208,0.8,10.7,1100,3.08,300,,,,394
395,KM57601,114,337,1.4,11.3,1050,3.15,230,,,,395
396,KM57603,106,362,1.3,11.2,1030,3.48,130,,,,396
397,KM55426,100,331,2.8,10.8,1040,3.97,330,,,,397
398,KM55495,101,249,1.2,11.1,1070,3.57,560,,,,398
399,KM55498,106,192,2,11.3,1130,3.87,370,,,,399
400,KM55613,107,357,1.2,11.5,1050,3.62,250,,,,400
